assignment_group,short_description
AZTEC.GP04.HRIT.01,Roshna Nazeer  is not able to access SF. Please check. | AZ Tech - India | Live | < Settings >
AZTEC.GP04.HRIT.01,No Access to Personalwelt | AZ Germany | Live | <authorization / access>
AZTEC.GP04.HRIT.01,Please provide as a report. we needs to identify who updated the Email ID of below mentioned employee profiles. | AZ Tech - India | Live | Settings
AZTEC.GP04.HRIT.02,Index Error SAP HCM to Boomi | AZ Germany | Live | External systems
AZTEC.GP04.HRIT.04,SuccessFactors Incident | Euler Hermes | Live | Authorization / Access
AZTEC.GP04.HRIT.04,SuccessFactors Incident | Euler Hermes | Live | Configuration
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | Ibero Latin | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login issue of external candidate|SER|USER ADMN|E-REC|CAR
AZTEC.GP04.HRIT.02,DellBoomi Alert : AZF002_GXP_ORG_OUT | AZ Tech - India | Live | Configuration
AZTEC.GP04.HRIT.03,Request for Report - Allianz SE (DE1890_AZSE_SGP) | AZ Tech - Singapore | Live | Settings
AZTEC.GP04.HRIT.02,Packaged Integration: EC to ERP - Employee Organizational Assignment Replication v2.0 | AZ  Germany | Live | Settings
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Candidate login issue |SER| User ADMN|E-REC|AZP
AZTEC.GP04.HRIT.01,EC: HRBP synchronization problem | AZ Portugal | Live |Settings
AZTEC.GP04.HRIT.02,HRS002-Allianz_SF_to_EEP | AZ Tech - India | Live | Settings
AZTEC.GP04.HRIT.06,Please reset 2 Factor Authentication for Diana Groh | AZ US Life | Live | < cause code >
AZTEC.GP04.HRIT.04,New HR Coordinator for HR Feeder / IDS/ADEUS | IDS GmbH | Live | Authorization/access
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | AZ Tech | Live | Authorization/access 
AZTEC.GP04.HRIT.02,AZ France - Terminations sent as Transfers | AZ France | Live | Network
AZTEC.GP04.HRIT.06,Dec 2020 SF Pen Test preparation | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.05,SER_eRecUSAD|External Candidate login issue|SER|USER ADMN|E-REC|CAR
AZTEC.GP04.HRIT.06,Please reset 2 Factor Authentication for Leann Wyek | AZ US Life | Live | < cause code >
AZTEC.GP04.HRIT.01,Invalid Login while connecting to the learning platform | AZ Austria | Live | Authorization/Access
AZTEC.GP04.HRIT.06,Please grant HRT Production access for CR (HRCR-4432) deployment 
AZTEC.GP04.HRIT.03,LMS Issue | AZ Tech - India | <AccessRights>
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.05,SER_eRecREQM| Hiring Manager not able to see requisition|SER| REQ MGMT|E-REC|AEV
AZTEC.GP04.HRIT.01,Allianz mobility: rehire | AZ France | Live | Configuration
AZTEC.GP04.HRIT.01,EC reporting |  AZ France | Live | Settings
AZTEC.GP04.HRIT.01,Remuneration information | AZ France | Live | <Configuration >
AZTEC.GP04.HRIT.01,Edit access for Talent Position | Az Germany| Live| Authorization/Access
AZTEC.GP04.HRIT.01,test ticket please close | AZ Partners | Live | Settings
AZTEC.GP04.HRIT.06,RBP Permission required in PROD deploy CR #4544 & #4239 from 21st Oct 2020 to 28 Oct 2020
AZTEC.GP04.HRIT.04,Request / missing employee IDS GmbH | AZ Tech | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|External candidate login issue|SER|USER ADMN|E-REC|CAR
AZTEC.GP04.HRIT.01,The TTDC (FTE_TTDC) field is showing incorrect result for multiple employees | AZ UK | Live | Settings
AZTEC.GP04.HRIT.04,FW: Feeder Access | AGCS | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access|SER|USER ADMN|E-REC|AZTE
AZTEC.GP04.HRIT.01,Super admin access for Surbhi Mehta| Aztech India | Live| Authorization/Access
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | Euler Hermes | Live | Authorization/access
AZTEC.GP04.HRIT.01,SFA users list from preview instance for quaterly audit| Aztech India | Live |Settings
AZTEC.GP04.HRIT.03,Viosana Ilami | AGCS | Live | Configuration
AZTEC.GP04.HRIT.02,AGCSUK003_ADP_ID | AGCS UK | Live | Settings
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Candidate login issue |SER| User ADMN|E-REC|AZP
AZTEC.GP04.HRIT.05,SER_eRecJSRCH|Job posting in One career relatedSER|JOB SRCH|E-REC|AZP
AZTEC.GP04.HRIT.01,Admin access in PROD for Mohini Shinde | AZ Tech - India | Live | Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Status of the candidate |SER| User ADMN|E-REC|CAR
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter access issue |SER| User ADMN|E-REC|AGI
AZTEC.GP04.HRIT.02,Dellboomi Alert: AUL010_Identity_Feeds_In | AZ Australia | Live | settings
AZTEC.GP04.HRIT.04,Login Issue | AZ Tech - Singapore | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue|SER|USER ADMN|E-REC|AGI
AZTEC.GP04.HRIT.01,A concern has been raised by the employee Augustine Jose: 10202267/ I86833. He is unable to access SF. | AZ Tech - India | Live | < Authorization/access > 
AZTEC.GP04.HRIT.04,Primary compensation coordinator change for AZ Portugal | AZSE | live | Authorization / Access
AZTEC.GP04.HRIT.04,Primary compensation coordinator change for AZ Benelux | AZSE | Live | Authorization / Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter viewissue |SER| User ADMN|E-REC|AZFR
AZTEC.GP04.HRIT.01,"İlbey Köse was able to use ""AZTR Migration Quality Check New | AZ Turkey | Live | Settings"
AZTEC.GP04.HRIT.01,Board Unit update Germany | AZ Germany | Live | Configuration
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < Authorization/access >
AZTEC.GP04.HRIT.01,Super admin access request for internal employees | Aztech - India| Live | Authorization/Access
AZTEC.GP04.HRIT.06,Please reset 2 FA for ShankarRam - 10801574 | AZ Australia | Live | < cause code >
AZTEC.GP04.HRIT.03,Help needed | AZ Romania | Live |Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter portal login issue|SER|USER ADMN|E-REC|AZD
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request | Allianz SE | Live | Authorization / Access
AZTEC.GP04.HRIT.01,3rd/Personalwelt: Meine Services - Invaild Login | AZ Germany | Live | <Authorization/access>
AZTEC.GP04.HRIT.02,The employee profile is not reflecting in HCT. Please check | AZ Tech - India | Live | Process
AZTEC.GP04.HRIT.01,Kindly check the SF access issue of the employee. | AZ Tech - India | Live | < authorization / access> | AZ Tech - India | Live | < authorization / access >
AZTEC.GP04.HRIT.04,Antwort: RE: INC5088674 (Virus checked) | AZ Tech - India | Live | Configuration
AZTEC.GP04.HRIT.03,Can you please update the content in the file exchange enclosed in the LMS? thank you! | AZ BeNeLux | Live | < Configuration
AZTEC.GP04.HRIT.01,SAR request | AZ Germany | Live | Settings
AZTEC.GP04.HRIT.01,Translation Issue|AZ France | Live | Settings
AZTEC.GP04.HRIT.04,Petar Bachvarov - PM form in HRT SF - issue with access | AZ Bulgaria | Live | < cause code >
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruter access |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.02,AGCSUK001_ADP_EE Failed to establish SFTP Channel. java.io.IOException: channel is broken | Az tech india | live |Settings
AZTEC.GP04.HRIT.04,Feeder HR Unit issue | AZAP | Live |Configuration
AZTEC.GP04.HRIT.04,Duplicate Account in Feeder | AZ Tech - Germany | Live | Configuration 
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | AGCS | Live | Authorization / Access
AZTEC.GP04.HRIT.04,preeth.paul-parappully-jose not in Feeder | AZ Tech - Germany | Live | Authorization/access
AZTEC.GP04.HRIT.02,MAIN:HRT_PM_to_TM | AZ Tech india | Live | Settings
AZTEC.GP04.HRIT.06,Please reset SF 2 FA - Brittany Ball - 15017906 | AZ Australia | Live | < cause code >
AZTEC.GP04.HRIT.02,DellBoomi Alert : MAIN: DEPT FEEDER - SK | AZ Tech - India | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter login issue |SER| User ADMN|E-REC|AZCH
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Update organizational data|SER|USER ADMN|E-REC|AZBR
AZTEC.GP04.HRIT.05,SER_eRecUSAD|User Creation|SER|USER ADMN|E-REC|AZBR
AZTEC.GP04.HRIT.01,To grant and revoke super admin access and RBP access | Aztech - India | Live | Authorization/access
AZTEC.GP04.HRIT.01,Trigger Profile push for all employees in FR55 AGCS France into Amadeus Cytric | AGCS | Live | < Settings >
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Internal candidate account|SER|USER ADMN|E-REC|AZFR
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Certifcate Problems with accessing eRec |SER| User ADMN|E-REC|AGI
AZTEC.GP04.HRIT.03,Revoke TM reports permissions in core role-Bug fix
AZTEC.GP04.HRIT.04,"""Missing rights for Sevde Özlem Öztürk SF_ID: 15014847"" | AZ Turkey | Live | < cause code >"
AZTEC.GP04.HRIT.02,Following incident : INC5362911 that has been closed | AZ Partners | Live | Process
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template - Feeder issue  | Euler Hermes | Live | Authorization/access 
AZTEC.GP04.HRIT.04,Duplicate deletion | AGCS | Live | Configuration
AZTEC.GP04.HRIT.04,Admin access for SF  legacy | AZ Tech | LIVE | Authorization/Access
AZTEC.GP04.HRIT.04,To revoke HRT access | AZ Tech | LIVE | Authorization/Access
AZTEC.GP04.HRIT.04,Revoke Admin access for SF  legacy | AZ Tech | LIVE | Authorization/Access
AZTEC.GP04.HRIT.06,Admin access for HRT | AZ Tech | LIVE | Authorization/Access
AZTEC.GP04.HRIT.02,EC release tracking | AZ Australia | Live | Configuration
AZTEC.GP04.HRIT.06,HR IT SuccessFactors Incident / Support Request - Activation of 2FA - Legacy PROD | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.02,Re: INC5393915- EC PROD/ IE0001/ EC export file for interface | AZ Ireland | Live | Configuration
AZTEC.GP04.HRIT.01,Invalid Login while connecting  (ID: 12127352) | AZ Tech - Austria | Live | <cauthorization / access>
AZTEC.GP04.HRIT.04,RE: INC5385783_SuccessFactors Incident / Support Request Template | AGCS | Live | Authorization/access
AZTEC.GP04.HRIT.04,RE: INC5215514_RE: INC5191481_Technical problem to request transfer Edouard Jozan AGIN-97BTTU  to AllianzGI | AGI | Live | Configuration 
AZTEC.GP04.HRIT.04,Username - Boon Pin GUI | AGI | Live | Authorization/access
AZTEC.GP04.HRIT.04,Please update users and delete duplicates for employees with RiskLab e-mail (Peek and Liegler) | AGI | Live | <cause code>
AZTEC.GP04.HRIT.04,Please update users and delete duplicates for employees with RiskLab e-mail | AGI | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecREQM|Template change |SER| REQ MGMT|E-REC|AZSE
AZTEC.GP04.HRIT.05, SER_eRecREQM| Notification to Hiring Manager|SER| REQ MGMT|E-REC|AGI
AZTEC.GP04.HRIT.01,SF COE - Salary Approvals | AZ Australia | Live | Configuration
AZTEC.GP04.HRIT.01,Users Cannot Access Employee Central - Username Not Synching From Business Email | AZ US Life | Live | Authorization/access
AZTEC.GP04.HRIT.03,Request for development plan data | AZ Australia | Live | < Settings |
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue|SER|USER ADMN|E-REC|AZCH
AZTEC.GP04.HRIT.01,When I requested the template for a mass data change I never received the actual  template to use. | AZ Partners | Live | Configuration
AZTEC.GP04.HRIT.01,Employee profile transfer (EC) | AZ Partners | Live | Configuration
AZTEC.GP04.HRIT.04,PM PROD IE0001 - missing PM reports| AZ Ireland | Live | < cause code >
AZTEC.GP04.HRIT.06,SFA User cannot log-in to SFA production (OE: AZ AIM / EECS code DE1049) | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < authorization / access > 
AZTEC.GP04.HRIT.04,HR IT SuccessFactors Incident / Support Request | AZ Tech | Live | Authorization/access
AZTEC.GP04.HRIT.01,Please transfer and open employeenr. 11617549 to Allianz Nederland Groep. | AZ Benelux | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Power User access|SER|USER ADMN|E-REC|AZCH
AZTEC.GP04.HRIT.05,SER_eRecJSRCH|Document upload error|SER|JOB SRCH|E-REC|CAR
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Candidate login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Recruiter portal login issue |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.01,EC PROD IE0001 - sync issue/no access to EC | AZ Ireland | Live |Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecREQ MNMT|Hiring Manager not able to see the applications|SER|REQ MNMT|E-REC|AGI
AZTEC.GP04.HRIT.01,A concern has been raised by the employee Veena Prasannakumari(10203412).She is unable to access the SF profile.| AZ Tech - India|Live | <authorization/access >
AZTEC.GP04.HRIT.04,RE: INC5406327_RE: Employee Inactive Status are not reflecting on the Feeder | AZ Partners | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.04,transfer request | AZ Tech - Germany | Live | Configuration
AZTEC.GP04.HRIT.01,Employee cannot access EC | AZ UK | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Employee cannot access EC | AZ UK | Live |Authorization/access
AZTEC.GP04.HRIT.04,Feeder Account Finn Stockwald | ACP | Live |Configuration
AZTEC.GP04.HRIT.01,wrong value in the picklist | AZ Partners | Live | Settings
AZTEC.GP04.HRIT.01,Company ID required each time SuccessFactors to be opened. Printscreen available. | AZ Partners | Live | Application Error
AZTEC.GP04.HRIT.01,No Access to Personalwelt | AZ Germany | Live | < authorization / access >
AZTEC.GP04.HRIT.01,No Access to Personalwelt | AZ Germany | Live | < authorization / access >
AZTEC.GP04.HRIT.01,No Access to Personalwelt | AZ Germany | Live | Authorization/Access
AZTEC.GP04.HRIT.06,Object Configuration export from HRT production
AZTEC.GP04.HRIT.04,WG: HR Success Factor - European Affairs Office | Allianz SE | Live |Configuration
AZTEC.GP04.HRIT.02,The following employees are not reflecting on HCT. Please do the necessary. | AZ Tech - India | Live | Process
AZTEC.GP04.HRIT.01,Please see the below SF issue. After troubleshooting the employee is receiving the below error message. | AZ Tech - India | Live | <Authorization/access >
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue|SER|USER ADMN|E-REC|AZD
AZTEC.GP04.HRIT.04,Friedrich Riddermann | AGCS | Live | Configuration
AZTEC.GP04.HRIT.04,RE: Feeder | Allianz SE Singapore | Live | Configuration
AZTEC.GP04.HRIT.03,FW: International Licensing Guidelines | AGCS | <AccessRights>
AZTEC.GP04.HRIT.04,EC profile of Fabian Capaul | AZSE | Live | Authorization / Access
AZTEC.GP04.HRIT.04,compensation coordinator domain not editable for Martin Hoff | AP | Live | Authorization / Access
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | AGCS | Live |Configuration
AZTEC.GP04.HRIT.05,SER_eRecREQ MNMT|Positions are not populating|SER|REQ MNMT|E-REC|AZL
AZTEC.GP04.HRIT.06,Please reset 2 Factor Authentication for Lisa Carlson | AZ US Life | Live | <cause code>
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Update organizational data|SER|USER ADMN|E-REC|AZBR
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Company access|SER|USER ADMN|E-REC|IRL
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login issue to Internal job portal|SER|USER ADMN|E-REC|AZL
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.04,RBP - Grant PM HRS Access | AZ Benelux | Live | < cause code >
AZTEC.GP04.HRIT.06,Please reset 2 Factor Authentication for Megan Osterman | AZ US Life | Live | <cause code>
AZTEC.GP04.HRIT.01,Username correction for Germany | AZ Germany | LIve | Configuration
AZTEC.GP04.HRIT.03,Create 2 Admins roles : GLOBAL_PROGRAM_ADMINISTRATION  | AZ France | Live | Access
AZTEC.GP04.HRIT.06,Please reset Two Factor Authentication in IAS for Michael Lautenbacch | AZ US Life | Live | < cause code >
AZTEC.GP04.HRIT.04,Admin access for SF  legacy | AZ Tech | LIVE | Authorization/Access
AZTEC.GP04.HRIT.01,No Access to Personalwelt | AZ Germany | Live | <authorization / access>
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | AIM SE | Live | Settings
AZTEC.GP04.HRIT.01,No Access to Personalwelt | AZ Germany | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Creation of new BG CC | AZ Bulgaria | Live | Configuration
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | <authorization / access>
AZTEC.GP04.HRIT.01,notification in english. not romanian | AZ Romania | Live | Settings
AZTEC.GP04.HRIT.02,manager not updated after delta file sent | AZ Romania | Live | Process
AZTEC.GP04.HRIT.01,Invalid Login while connecting to the learning platform | AZ Tech - Austria | Live | <authorization / access>
AZTEC.GP04.HRIT.03,No Access to LMS | AZ Germany | Live | Process
AZTEC.GP04.HRIT.01,No access to EC | AZ UK | Live | <authorization / access>
AZTEC.GP04.HRIT.01,Sync. profile | AZ Germany | Live | Authorization/Access
AZTEC.GP04.HRIT.06,Super Admin Role access required for the user in Success Factors | AGCS | Live | <cause code>
AZTEC.GP04.HRIT.01,No Access to Personalwelt | AZ Germany | Live |Authorization/Access
AZTEC.GP04.HRIT.01,"IND-Personalwelt ""Meine Services"" > Success Factors > kein Zugriff | AZ Germany | Live | <authorization / access>"
AZTEC.GP04.HRIT.01,Login Issue | AZ Partners | Live | < authorization / access >
AZTEC.GP04.HRIT.02,Profile not sent from EC to Amadeus cytric | AZ Tech - Germany | Live |Network
AZTEC.GP04.HRIT.04,I: Accesso Negato a Success Factor | AZ Spa | Live | Authorization/access |
AZTEC.GP04.HRIT.02,EC PROD IE0001 - Interface - office phone number/business landline | AZ Ireland | Live | Configuration
AZTEC.GP04.HRIT.03,Admin rights for the new learning admins of Az Tech | AZ Spain | Live | access
AZTEC.GP04.HRIT.01,FTE-TTDC | AZ Australia | Live | Authorization/Access
AZTEC.GP04.HRIT.06,Legacy Production Admin Global TU access for Utkarsh | Aztech India| Live| Authorization/Access
AZTEC.GP04.HRIT.04,Access Global Office Team | AZ Partners | Live | Authorization/access
AZTEC.GP04.HRIT.01,Login Issue | AZ Tech - Singapore | Live | Authorization/Access
AZTEC.GP04.HRIT.06,Please reset 2 FA - SF for Paul Kutcher | AZ Australia | Live | <cause code>
AZTEC.GP04.HRIT.02,MAIN:HRT_PM_to_TM | AZ Tech - India  | Live | settings
AZTEC.GP04.HRIT.05,SER_eRecREQM| Hiring Manager issue |SER| REQ MGMT|E-REC|AZP
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue to Job portal|SER|USER ADMN|E-REC|CAR
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Hiring Manager Access |SER| User ADMN|E-REC|AZCH
AZTEC.GP04.HRIT.01,"""SUCCESSFACTORS USER GROUP addition problem"" | AZ Turkey | Live | Authorization/access"
AZTEC.GP04.HRIT.04,HR Feeder Load October 2020 / Allianz Suisse (Virus checked) | AZ Tech | Live | Configuration
AZTEC.GP04.HRIT.04,Duplicate Record | AGCS | Live | Configuration
AZTEC.GP04.HRIT.03,The listed employee has reached out to us with issue unable to access SF and to complete the mandatory training. | AZ Tech - India | Live | Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Recruiter portal login issue |SER| User ADMN|E-REC|AZCH
AZTEC.GP04.HRIT.04,WG: Access Success Factor Tool | AZ Germany | Live | Authorization/Access
AZTEC.GP04.HRIT.04,RE: User Login Issue | AZ Greece | Live | Configuration
AZTEC.GP04.HRIT.04,RE: 2 new issues today | AGCS | Live | Configuration
AZTEC.GP04.HRIT.03,Missing tiles in SF | AZ Austria | Live | Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecJSRH|Job Agent notification issue |SER| JOB SEARCH|E-REC|AZSE
AZTEC.GP04.HRIT.03,LMS - Learning Management System | AZ Germany | Live | Authorization/Access
AZTEC.GP04.HRIT.03,test
AZTEC.GP04.HRIT.01,unable to TERCEE user | AZ Slovakia | Live | Configuration
AZTEC.GP04.HRIT.01,A concern has been raised by the employee Amarjeetsingh Rathod: 10200849/ I86076. He is unable to access SF. | AZ Tech - India |Live | < authorization / access>
AZTEC.GP04.HRIT.03,Access to SF LMS as a user | AZ France | Live| Configuration
AZTEC.GP04.HRIT.04,FW: LMS Legacy | AZ Tech - Germany | Live | Configuration 
AZTEC.GP04.HRIT.03,AZAP Learning employees | AZ Tech - Germany | Live | Authorization/access
AZTEC.GP04.HRIT.01,A concern has been raised by the employee Jibi Joseph (10203887). He is unable to access the SF profile.  | AZ Tech - India | Live | Authorization/Access
AZTEC.GP04.HRIT.03,Issue with GLO_AGCS_UfNU item | AZ Romania | Live | AccessRights
AZTEC.GP04.HRIT.04,Feeder profiles | AGCS | Live | Configuration
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < authorization / access>
AZTEC.GP04.HRIT.04,FW: SuccessFactors Incident / Support Request Template | Euler Hermes | Live | Configuration
AZTEC.GP04.HRIT.04,Success factor  : <Cannot login to Success factor SSO page.> | AZ Tech - Germany | Live | <cause code>
AZTEC.GP04.HRIT.04,account creation for new hires | AZ Tech | Live | Configuration
AZTEC.GP04.HRIT.06,FW: SuccessFactors Incident / Support Request Template | Allianz SE | Live | <cause code>
AZTEC.GP04.HRIT.04,Please provide RBP access as per the attached templates | AZ Australia | Live | Access
AZTEC.GP04.HRIT.03,LMS issue  - 15022927 | AZ Tech - India | Live | < AccessRights >
AZTEC.GP04.HRIT.01, login Issue | AZ Tech - Singapore | Live | Authorization/Access
AZTEC.GP04.HRIT.04,MAIN:HRT_PM_to_TM | AZ Tech - India | Live | Settings
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Power user role |SER| User ADMN|E-REC|AGI
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Candidate access |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access|SER|USER ADMN|E-REC|AGCS
AZTEC.GP04.HRIT.02,MAIN: DEPT FEEDER - SK | AZ Slovakia | Live | Settings
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | Authorization/access
AZTEC.GP04.HRIT.03,E-Learning Access | AZ Tech | Live | Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Internal portal login issue |SER| User ADMN|E-REC|EH
AZTEC.GP04.HRIT.04,FW: SuccessFactors Incident / Support Request Template | AZ Germany | Live | Configuration
AZTEC.GP04.HRIT.04,FW: SuccessFactors Incident / Support Request Template | AZ Germany | Live |Configuration
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < authorization / access >
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Certification error |SER| User ADMN|E-REC|AGI
AZTEC.GP04.HRIT.02,AUL010_Identity_Feeds_In|AZ Australia | Live | Setting
AZTEC.GP04.HRIT.01,Please note the below employee is unable to access SF | AZ Tech - India  | Live | <Authorization/access>
AZTEC.GP04.HRIT.01,employment détails ko | AZ France | Live | Settings
AZTEC.GP04.HRIT.01,"template to adjust field ""external object ID"" in SF PROD? | AZ Benelux | Live | Configuration"
AZTEC.GP04.HRIT.01,employment détails ko | AZ France | Live | Settings
AZTEC.GP04.HRIT.04,"""Missing Admin roles (HRS & PM-TM Expert) for Selin Egem Divrik"" | AZ Turkey | Live | Service Request"
AZTEC.GP04.HRIT.03,access denied | AZ Germany | Live | Authorization/access
AZTEC.GP04.HRIT.02,Unable to see the person's profile in HCT. Please check. | AZ Tech - India | Live | Process
AZTEC.GP04.HRIT.01,Employee cannot access EC | AZ UK | Live | <authorization / access>
AZTEC.GP04.HRIT.01,Employment détails not correct | AZ France | Live | Settings
AZTEC.GP04.HRIT.02,error when update delta file: Anei Alexandra. Diaconu Veronica Ramona & Nica Alina | AZ Romania | Live | Process
AZTEC.GP04.HRIT.01,A concern has been raised by the employee Mareeswaran Sreenivasan (15022471).He is unable to access theSF profile|AZ Tech - India| Live |<authorization / access
AZTEC.GP04.HRIT.03,Classes not showing in the front end for Item AZI_Six_Effective Practices of Leading Virtual Teams | AZ Ireland | Live | Process
AZTEC.GP04.HRIT.01,'AIB' employees have no access to Success Factors | AZ Tech - Austria | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Invalid Login while connecting to the learning platform | AZ Tech - Austria | Live | Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Internal Portal Issue |SER| User ADMN|E-REC|AZBV
AZTEC.GP04.HRIT.03,User open an SAP site (link). is logon but no informations on screen / photo below | Allianz SE | Live | <AccessRights>
AZTEC.GP04.HRIT.01,AZ France - Unwanted synchronisation of data following the loading of a template | AZ France | Live | Configuration
AZTEC.GP04.HRIT.04,Vita Pricop - update email | AGCS | Live | Authorization / Access |
AZTEC.GP04.HRIT.02,Severe errors occurred during start shape execution. terminating process | AZ Tech-India | Live | Settings
AZTEC.GP04.HRIT.05,SER_eRecJSRCH|Not able to apply for the job|SER|JOB SRCH|E-REC|CAR
AZTEC.GP04.HRIT.04,General queries regarding the system  | AP | Live | Authorization / Access
AZTEC.GP04.HRIT.04,MAIN:HRT_PM_to_TM | AZ Tech - India |  Live | < cause code >
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Recruiter portal login issue |SER| User ADMN|E-REC|AZTE
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Internal portal login issue |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < Authorization/access >
AZTEC.GP04.HRIT.03,User Data in attached spreadsheet is has incorrect data in the custom External Company field | AZ US Life | Live | Authorization/access
AZTEC.GP04.HRIT.04,No Access To SF: florian.brumbauer@allianz.de | AZ Tech | Live | Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Candidate access |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.04,FW: SuccessFactors Incident / Support Request Template | AZ Tech | Live | Authorization/access |
AZTEC.GP04.HRIT.04,Trouble accessing ALM | AGCS | Live | Authorization / Access
AZTEC.GP04.HRIT.01,Manager for CEO in HRT System for the PM workflow | AZ Hungary | Live | Configuration
AZTEC.GP04.HRIT.01,PERSONAL ADRESS IN SF | AZ France | Live | Settings
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | <authorization / access>
